SampleID,CapShape,CapColor,Odor,GillSpacing,GillColor,StalkShape,RingNumber,Habitat,Population,Class
S0057,convex,gray,anise,close,white,tapering,two,urban,solitary,edible
S0058,bell,brown,none,crowded,black,tapering,one,urban,several,poisonous
S0059,convex,yellow,almond,close,pink,tapering,two,grasses,solitary,edible
S0060,bell,brown,none,crowded,green,tapering,one,leaves,scattered,poisonous
S0061,bell,brown,fishy,close,black,enlarging,one,woods,several,poisonous
S0062,bell,white,fishy,close,brown,tapering,two,woods,solitary,poisonous
S0063,convex,gray,none,close,white,enlarging,one,woods,scattered,edible
S0064,knobbed,gray,almond,crowded,white,tapering,one,leaves,scattered,edible
S0065,convex,white,fishy,distant,black,tapering,one,grasses,solitary,poisonous
S0066,convex,white,fishy,close,white,enlarging,one,paths,abundant,poisonous
S0067,bell,brown,none,close,black,enlarging,two,urban,several,poisonous
S0068,bell,gray,foul,close,pink,tapering,one,grasses,solitary,poisonous
S0069,convex,brown,fishy,close,pink,enlarging,none,woods,solitary,poisonous
S0070,convex,white,none,close,pink,enlarging,two,grasses,several,edible
S0071,convex,brown,almond,distant,pink,tapering,one,grasses,solitary,edible
S0072,convex,gray,fishy,close,white,tapering,one,urban,several,poisonous
S0073,convex,brown,pungent,close,pink,enlarging,one,woods,several,poisonous
S0074,convex,yellow,fishy,close,green,enlarging,one,urban,solitary,poisonous
S0075,flat,brown,almond,crowded,pink,enlarging,none,woods,several,edible
S0076,convex,brown,almond,close,pink,enlarging,two,grasses,solitary,edible
S0077,flat,brown,pungent,distant,white,enlarging,one,leaves,scattered,poisonous
S0078,bell,white,anise,close,black,enlarging,one,grasses,scattered,edible
S0079,bell,brown,none,close,white,tapering,one,grasses,scattered,poisonous
S0080,convex,red,foul,crowded,black,tapering,one,urban,several,poisonous
S0081,flat,yellow,none,crowded,black,enlarging,one,grasses,solitary,poisonous
S0082,convex,gray,none,close,brown,tapering,one,paths,several,poisonous
S0083,convex,gray,none,crowded,white,tapering,one,paths,solitary,poisonous
S0084,bell,yellow,almond,crowded,green,tapering,one,paths,solitary,edible
S0085,convex,brown,foul,crowded,black,enlarging,one,woods,abundant,poisonous
S0086,bell,yellow,anise,close,black,tapering,none,urban,scattered,edible
S0087,convex,brown,pungent,distant,green,tapering,one,grasses,solitary,poisonous
S0088,flat,red,none,close,black,enlarging,two,urban,several,edible
S0089,convex,gray,pungent,distant,brown,tapering,one,woods,solitary,poisonous
S0090,convex,gray,foul,close,brown,tapering,one,grasses,solitary,poisonous
S0091,convex,gray,foul,crowded,brown,tapering,one,paths,several,poisonous
S0092,convex,brown,none,crowded,brown,tapering,two,leaves,scattered,poisonous
S0093,bell,gray,pungent,close,pink,tapering,one,woods,solitary,poisonous
S0094,convex,gray,none,close,white,tapering,one,urban,scattered,poisonous
S0095,flat,white,foul,close,pink,tapering,one,woods,solitary,edible
S0096,convex,red,foul,close,green,tapering,one,grasses,abundant,poisonous
S0097,knobbed,gray,foul,close,black,enlarging,two,urban,several,poisonous
S0098,bell,white,almond,close,black,tapering,one,grasses,scattered,edible
S0099,convex,red,almond,crowded,brown,tapering,two,paths,solitary,edible
S0100,flat,yellow,anise,distant,brown,enlarging,two,woods,scattered,edible
S0101,convex,brown,pungent,close,white,tapering,one,urban,several,poisonous
S0102,convex,white,almond,crowded,green,enlarging,one,leaves,solitary,poisonous
S0103,convex,yellow,fishy,close,black,enlarging,one,urban,solitary,poisonous
S0104,convex,brown,fishy,crowded,brown,tapering,two,woods,solitary,poisonous
S0105,flat,white,none,distant,brown,tapering,two,woods,solitary,edible
S0106,bell,yellow,almond,distant,black,tapering,two,woods,abundant,edible
S0107,convex,brown,none,distant,green,enlarging,one,grasses,scattered,poisonous
S0108,knobbed,red,pungent,crowded,white,tapering,one,grasses,solitary,poisonous
S0109,convex,brown,none,close,brown,tapering,two,grasses,solitary,poisonous
S0110,bell,red,pungent,close,white,enlarging,one,woods,solitary,poisonous
S0111,convex,brown,almond,close,white,tapering,one,grasses,scattered,edible
S0112,convex,white,none,close,black,tapering,one,woods,scattered,edible
S0113,flat,white,almond,close,black,tapering,one,grasses,scattered,edible
S0114,convex,red,pungent,crowded,brown,tapering,one,grasses,scattered,poisonous
S0115,flat,gray,none,close,pink,tapering,two,paths,scattered,poisonous
S0116,flat,red,none,close,black,tapering,one,woods,solitary,edible
S0117,flat,brown,foul,crowded,brown,enlarging,one,leaves,scattered,poisonous
S0118,knobbed,brown,anise,crowded,brown,tapering,one,paths,several,poisonous
S0119,bell,red,none,close,white,enlarging,one,woods,several,edible
S0120,convex,red,none,close,white,tapering,one,grasses,several,edible
S0121,flat,brown,pungent,close,white,enlarging,one,leaves,scattered,poisonous
S0122,flat,brown,none,close,white,tapering,one,woods,scattered,edible
S0123,flat,brown,anise,close,green,enlarging,one,paths,several,edible
S0124,convex,white,none,crowded,brown,tapering,one,woods,solitary,poisonous
S0125,convex,yellow,fishy,close,black,tapering,one,paths,solitary,edible
S0126,knobbed,yellow,almond,distant,brown,tapering,two,woods,solitary,edible
S0127,bell,red,anise,distant,brown,tapering,one,grasses,scattered,edible
S0128,convex,brown,anise,close,brown,enlarging,one,woods,solitary,edible
S0129,bell,red,anise,crowded,white,tapering,two,woods,abundant,poisonous
S0130,convex,yellow,none,close,brown,enlarging,one,grasses,solitary,poisonous
S0131,convex,yellow,foul,close,brown,enlarging,one,leaves,solitary,poisonous
S0132,bell,gray,anise,crowded,brown,tapering,two,woods,abundant,edible
S0133,convex,white,foul,close,brown,enlarging,one,woods,scattered,edible
S0134,convex,white,anise,close,brown,tapering,two,woods,scattered,edible
S0135,convex,red,none,crowded,brown,tapering,two,leaves,solitary,edible
S0136,convex,white,pungent,distant,white,enlarging,one,leaves,several,poisonous
S0137,bell,brown,foul,close,brown,tapering,one,grasses,abundant,poisonous
S0138,knobbed,brown,anise,crowded,pink,tapering,one,urban,solitary,poisonous
S0139,convex,white,none,distant,brown,enlarging,two,woods,scattered,edible
S0140,convex,white,none,close,pink,enlarging,one,urban,scattered,edible
S0141,convex,white,almond,close,white,enlarging,one,grasses,scattered,poisonous
S0142,convex,brown,none,crowded,black,tapering,one,grasses,several,poisonous
S0143,convex,brown,almond,close,black,tapering,one,grasses,several,edible
S0144,convex,yellow,fishy,distant,brown,enlarging,one,woods,solitary,poisonous
S0145,knobbed,gray,foul,close,black,enlarging,one,paths,several,poisonous
S0146,flat,brown,foul,crowded,black,tapering,one,leaves,solitary,poisonous
S0147,convex,brown,none,distant,white,tapering,one,paths,several,poisonous
S0148,flat,white,anise,close,brown,tapering,one,grasses,solitary,edible
S0149,convex,gray,none,close,black,tapering,one,woods,scattered,edible
S0150,flat,yellow,none,close,white,enlarging,none,grasses,scattered,poisonous
S0151,convex,gray,none,close,black,tapering,two,leaves,several,poisonous
S0152,convex,brown,none,close,pink,enlarging,one,grasses,several,edible
S0153,convex,brown,none,close,black,enlarging,one,woods,abundant,edible
S0154,bell,gray,almond,crowded,pink,tapering,one,grasses,scattered,edible
S0155,knobbed,gray,foul,close,black,enlarging,one,paths,several,poisonous
S0156,flat,brown,none,distant,brown,tapering,one,leaves,solitary,edible
S0157,flat,white,none,crowded,black,tapering,one,grasses,solitary,edible
S0158,bell,yellow,none,crowded,white,enlarging,none,woods,several,poisonous
S0159,knobbed,gray,fishy,crowded,pink,tapering,one,woods,solitary,poisonous
S0160,flat,brown,foul,crowded,brown,tapering,one,woods,solitary,poisonous
S0161,flat,yellow,none,crowded,pink,tapering,one,woods,solitary,poisonous
S0162,flat,red,foul,close,pink,tapering,none,woods,abundant,poisonous
S0163,convex,brown,anise,distant,black,tapering,one,woods,several,edible
S0164,convex,gray,pungent,crowded,pink,tapering,two,grasses,scattered,poisonous
S0165,knobbed,red,none,close,white,enlarging,one,woods,several,poisonous
S0166,convex,yellow,fishy,close,black,tapering,one,grasses,several,edible
S0167,convex,gray,anise,close,black,tapering,none,woods,several,edible
S0168,convex,brown,foul,crowded,white,enlarging,one,grasses,scattered,poisonous
S0169,flat,brown,none,close,white,tapering,one,paths,abundant,poisonous
S0170,bell,white,foul,crowded,black,enlarging,one,grasses,solitary,poisonous
S0171,bell,red,anise,close,brown,tapering,one,woods,solitary,edible
S0172,flat,brown,pungent,close,white,enlarging,one,woods,abundant,poisonous
S0173,flat,brown,anise,crowded,black,tapering,one,woods,solitary,edible
S0174,convex,brown,none,crowded,brown,enlarging,two,grasses,solitary,poisonous
S0175,flat,gray,fishy,close,pink,tapering,two,woods,scattered,poisonous
S0176,flat,red,none,crowded,green,enlarging,one,grasses,several,poisonous
S0177,flat,red,foul,close,pink,enlarging,two,leaves,several,poisonous
S0178,bell,brown,none,crowded,pink,enlarging,one,urban,solitary,edible
S0179,convex,yellow,almond,crowded,brown,tapering,two,grasses,several,edible
S0180,convex,white,fishy,distant,pink,tapering,one,woods,several,poisonous
S0181,flat,gray,none,close,white,tapering,one,woods,several,poisonous
S0182,convex,red,anise,close,black,enlarging,one,urban,abundant,edible
S0183,flat,gray,fishy,crowded,black,tapering,one,paths,solitary,poisonous
S0184,convex,gray,foul,close,brown,tapering,one,grasses,solitary,poisonous
S0185,convex,yellow,foul,close,white,tapering,one,urban,solitary,edible
S0186,flat,white,foul,close,brown,tapering,one,woods,several,poisonous
S0187,bell,white,pungent,crowded,black,enlarging,one,grasses,abundant,poisonous
S0188,convex,white,pungent,close,black,tapering,one,grasses,scattered,edible
S0189,convex,white,none,close,brown,enlarging,one,leaves,abundant,poisonous
S0190,convex,brown,none,close,pink,enlarging,one,leaves,solitary,poisonous
S0191,flat,yellow,none,crowded,black,tapering,one,woods,solitary,poisonous
S0192,convex,brown,none,distant,black,tapering,one,woods,solitary,poisonous
S0193,flat,brown,foul,crowded,black,tapering,one,urban,several,poisonous
S0194,knobbed,yellow,foul,distant,brown,tapering,two,leaves,abundant,poisonous
S0195,flat,white,foul,crowded,green,tapering,two,woods,scattered,poisonous
S0196,knobbed,gray,none,crowded,pink,enlarging,one,grasses,several,poisonous
S0197,bell,red,foul,distant,white,tapering,one,urban,scattered,poisonous
S0198,knobbed,brown,pungent,crowded,white,tapering,two,grasses,several,poisonous
S0199,convex,gray,almond,crowded,black,tapering,one,grasses,several,edible
S0200,convex,red,almond,close,white,enlarging,two,grasses,solitary,edible
S0201,flat,gray,almond,distant,pink,tapering,one,grasses,several,edible
S0202,knobbed,yellow,pungent,close,black,enlarging,one,woods,several,poisonous
S0203,flat,brown,foul,close,brown,tapering,one,leaves,several,poisonous
S0204,bell,gray,almond,close,white,enlarging,two,urban,scattered,edible
S0205,flat,brown,none,crowded,white,enlarging,two,leaves,several,edible
S0206,convex,gray,foul,close,pink,tapering,one,urban,scattered,poisonous
S0207,flat,gray,none,crowded,black,enlarging,one,woods,scattered,poisonous
S0208,convex,white,none,close,pink,tapering,one,woods,solitary,edible
S0209,convex,brown,foul,close,brown,tapering,one,grasses,scattered,edible
S0210,flat,red,almond,crowded,green,tapering,one,woods,abundant,edible
S0211,bell,gray,none,close,black,enlarging,one,paths,scattered,edible
S0212,flat,yellow,none,crowded,brown,enlarging,one,grasses,several,poisonous
S0213,convex,brown,none,close,black,tapering,none,leaves,solitary,poisonous
S0214,convex,brown,fishy,distant,brown,enlarging,one,grasses,scattered,poisonous
S0215,bell,brown,anise,close,brown,enlarging,none,paths,solitary,edible
S0216,flat,gray,foul,close,pink,tapering,one,woods,scattered,edible
S0217,convex,red,anise,close,pink,enlarging,two,paths,several,poisonous
S0218,flat,brown,almond,crowded,white,tapering,none,grasses,several,edible
S0219,flat,brown,none,close,black,enlarging,one,grasses,scattered,poisonous
S0220,knobbed,white,foul,crowded,white,enlarging,one,grasses,scattered,poisonous
S0221,flat,red,foul,close,brown,enlarging,none,woods,scattered,poisonous
S0222,bell,brown,none,close,white,tapering,one,grasses,solitary,edible
S0223,flat,yellow,anise,crowded,black,enlarging,one,woods,solitary,edible
S0224,convex,brown,pungent,crowded,brown,tapering,one,woods,solitary,poisonous
S0225,bell,gray,almond,crowded,white,tapering,one,woods,several,edible
S0226,bell,yellow,pungent,close,black,tapering,one,grasses,abundant,poisonous
S0227,bell,brown,foul,close,black,tapering,one,grasses,scattered,poisonous
S0228,flat,brown,none,close,black,tapering,one,woods,solitary,poisonous
S0229,flat,gray,none,close,brown,enlarging,two,paths,abundant,poisonous
S0230,flat,yellow,pungent,close,white,tapering,one,paths,solitary,poisonous
S0231,convex,gray,none,close,black,tapering,two,paths,several,poisonous
S0232,convex,yellow,foul,close,brown,enlarging,one,woods,solitary,poisonous
S0233,convex,yellow,almond,crowded,white,enlarging,one,paths,scattered,edible
S0234,knobbed,red,none,close,brown,tapering,one,grasses,abundant,poisonous
S0235,flat,white,foul,close,black,enlarging,one,leaves,abundant,poisonous
S0236,convex,brown,pungent,close,white,tapering,two,grasses,solitary,edible
S0237,convex,yellow,foul,close,pink,enlarging,two,grasses,several,poisonous
S0238,flat,brown,none,close,white,enlarging,one,grasses,abundant,edible
S0239,convex,red,pungent,close,green,enlarging,one,paths,several,poisonous
S0240,flat,brown,foul,crowded,black,tapering,one,leaves,solitary,poisonous
S0241,knobbed,brown,almond,close,white,enlarging,one,woods,scattered,edible
S0242,knobbed,white,fishy,close,black,enlarging,one,urban,several,poisonous
S0243,bell,white,foul,distant,pink,tapering,none,woods,scattered,poisonous
S0244,convex,brown,almond,close,black,enlarging,one,leaves,several,edible
S0245,convex,red,none,crowded,pink,tapering,one,grasses,several,edible
S0246,convex,red,fishy,crowded,white,enlarging,one,urban,solitary,poisonous
S0247,convex,white,almond,close,brown,enlarging,one,woods,several,edible
S0248,flat,yellow,pungent,close,brown,tapering,one,urban,solitary,poisonous
S0249,convex,brown,foul,crowded,brown,enlarging,two,urban,solitary,poisonous
S0250,convex,white,almond,close,black,enlarging,one,woods,solitary,edible
S0251,flat,yellow,foul,distant,green,tapering,one,urban,solitary,poisonous
S0252,convex,gray,foul,close,white,enlarging,two,grasses,several,poisonous
S0253,convex,brown,foul,crowded,brown,enlarging,one,woods,several,poisonous
S0254,convex,gray,none,close,pink,tapering,one,paths,abundant,poisonous
S0255,flat,red,foul,crowded,black,tapering,one,grasses,scattered,edible
S0256,convex,red,foul,distant,brown,enlarging,one,paths,abundant,poisonous
S0257,convex,gray,foul,close,white,enlarging,two,grasses,solitary,poisonous
S0258,knobbed,brown,none,crowded,pink,enlarging,two,woods,scattered,poisonous
S0259,flat,brown,none,close,pink,enlarging,two,grasses,scattered,edible
S0260,flat,gray,none,close,white,tapering,two,grasses,scattered,edible
S0261,convex,brown,almond,close,white,enlarging,one,paths,solitary,poisonous
S0262,flat,red,fishy,crowded,pink,tapering,one,urban,scattered,poisonous
S0263,knobbed,yellow,foul,close,black,tapering,one,paths,scattered,poisonous
S0264,flat,brown,none,crowded,white,tapering,one,grasses,scattered,edible
S0265,bell,brown,foul,close,white,tapering,one,woods,several,poisonous
S0266,flat,yellow,pungent,close,brown,tapering,two,grasses,several,poisonous
S0267,flat,gray,pungent,crowded,white,tapering,one,grasses,several,edible
S0268,convex,brown,none,close,white,enlarging,one,woods,abundant,poisonous
S0269,flat,white,anise,close,white,enlarging,one,woods,several,poisonous
S0270,flat,yellow,foul,close,black,tapering,two,paths,several,poisonous
S0271,flat,red,none,close,brown,tapering,one,urban,abundant,poisonous
S0272,bell,gray,pungent,close,pink,enlarging,one,paths,several,poisonous
S0273,convex,white,almond,close,pink,tapering,two,woods,solitary,edible
S0274,convex,brown,almond,close,brown,enlarging,one,woods,abundant,edible
S0275,flat,white,none,close,white,enlarging,none,grasses,several,poisonous
S0276,bell,white,anise,crowded,black,enlarging,one,woods,solitary,poisonous
S0277,flat,brown,none,close,black,tapering,one,paths,solitary,edible
S0278,convex,red,foul,distant,black,tapering,one,woods,several,poisonous
S0279,bell,brown,foul,close,green,tapering,one,paths,several,poisonous
S0280,convex,brown,none,close,white,enlarging,one,woods,several,edible
S0281,bell,gray,foul,distant,brown,tapering,one,woods,scattered,poisonous
S0282,bell,brown,anise,close,white,tapering,two,urban,several,edible
S0283,convex,gray,anise,close,black,enlarging,one,grasses,several,edible
S0284,convex,gray,foul,crowded,pink,tapering,two,grasses,scattered,poisonous
S0285,flat,white,none,crowded,black,tapering,two,grasses,several,edible
S0286,convex,white,none,close,pink,tapering,one,urban,several,edible
S0287,convex,white,almond,crowded,black,tapering,one,paths,scattered,edible
S0288,convex,yellow,none,close,black,tapering,two,grasses,abundant,edible
S0289,convex,yellow,almond,distant,black,enlarging,one,urban,scattered,edible
S0290,knobbed,gray,almond,close,pink,tapering,one,paths,several,edible
S0291,flat,yellow,foul,close,black,tapering,none,grasses,several,poisonous
S0292,bell,brown,foul,crowded,brown,enlarging,one,grasses,several,poisonous
S0293,flat,gray,anise,close,white,tapering,one,woods,scattered,poisonous
S0294,convex,red,pungent,crowded,white,tapering,one,grasses,scattered,poisonous
S0295,flat,yellow,none,crowded,white,tapering,two,urban,several,poisonous
S0296,flat,yellow,almond,crowded,pink,tapering,one,grasses,scattered,edible
S0297,convex,gray,almond,close,green,enlarging,two,woods,solitary,edible
S0298,bell,brown,almond,close,white,tapering,one,leaves,solitary,edible
S0299,convex,white,none,crowded,pink,tapering,one,grasses,solitary,edible
S0300,knobbed,white,none,close,pink,enlarging,one,paths,solitary,poisonous
S0301,flat,white,none,close,white,enlarging,one,urban,abundant,edible
S0302,knobbed,gray,fishy,close,black,tapering,two,woods,several,poisonous
S0303,flat,brown,none,close,white,enlarging,one,woods,scattered,edible
S0304,convex,red,pungent,close,brown,tapering,one,grasses,solitary,poisonous
S0305,flat,brown,none,distant,pink,enlarging,one,paths,abundant,edible
S0306,knobbed,brown,none,close,white,enlarging,two,grasses,solitary,edible
S0307,convex,white,anise,close,brown,enlarging,none,woods,several,edible
S0308,bell,white,foul,close,black,enlarging,one,grasses,scattered,poisonous
S0309,convex,white,foul,close,black,tapering,none,grasses,solitary,poisonous
S0310,bell,gray,none,close,brown,enlarging,one,woods,solitary,edible
S0311,bell,brown,none,crowded,pink,tapering,two,grasses,several,poisonous
S0312,bell,white,foul,close,black,tapering,two,grasses,solitary,poisonous
S0313,convex,gray,none,close,pink,enlarging,one,urban,solitary,poisonous
S0314,bell,yellow,none,close,black,enlarging,two,paths,several,edible
S0315,convex,red,pungent,crowded,pink,tapering,two,urban,several,poisonous
S0316,bell,red,anise,close,white,tapering,one,grasses,several,edible
S0317,flat,brown,none,distant,white,enlarging,one,woods,solitary,poisonous
S0318,bell,red,none,close,black,enlarging,two,woods,several,poisonous
S0319,convex,white,almond,close,green,enlarging,one,grasses,solitary,edible
S0320,convex,brown,pungent,close,black,tapering,one,woods,scattered,poisonous
S0321,flat,red,almond,close,pink,tapering,one,woods,solitary,edible
S0322,convex,yellow,none,close,white,tapering,one,woods,solitary,edible
S0323,convex,white,fishy,close,brown,enlarging,one,woods,several,poisonous
S0324,convex,brown,anise,close,pink,enlarging,one,urban,solitary,edible
S0325,bell,red,none,close,brown,enlarging,one,woods,several,poisonous
S0326,convex,white,almond,crowded,pink,tapering,none,urban,several,edible
S0327,convex,gray,foul,distant,white,enlarging,one,paths,scattered,poisonous
S0328,flat,brown,pungent,crowded,pink,tapering,none,leaves,abundant,poisonous
S0329,flat,gray,foul,crowded,black,tapering,one,urban,several,poisonous
S0330,convex,white,none,close,white,enlarging,one,paths,solitary,poisonous
S0331,convex,yellow,almond,close,white,enlarging,one,woods,abundant,edible
S0332,convex,yellow,none,close,black,tapering,one,urban,several,poisonous
S0333,knobbed,red,foul,crowded,white,tapering,two,paths,several,poisonous
S0334,convex,yellow,none,close,brown,tapering,one,woods,several,poisonous
S0335,flat,red,almond,close,white,tapering,one,woods,abundant,edible
S0336,knobbed,white,none,close,white,tapering,one,grasses,solitary,poisonous
S0337,convex,white,none,crowded,white,enlarging,one,grasses,scattered,poisonous
S0338,convex,gray,foul,distant,pink,enlarging,two,woods,several,poisonous
S0339,flat,gray,foul,close,pink,tapering,one,grasses,several,poisonous
S0340,convex,gray,none,close,brown,tapering,one,paths,several,edible
S0341,flat,yellow,anise,close,white,enlarging,one,urban,scattered,edible
S0342,knobbed,gray,pungent,close,brown,enlarging,one,leaves,several,poisonous
S0343,convex,brown,none,close,black,enlarging,one,paths,several,poisonous
S0344,convex,yellow,none,close,green,enlarging,one,grasses,several,poisonous
S0345,bell,brown,almond,close,brown,enlarging,two,grasses,solitary,edible
S0346,flat,gray,none,distant,black,tapering,one,grasses,several,edible
S0347,bell,gray,foul,distant,white,tapering,two,woods,several,poisonous
S0348,convex,yellow,pungent,crowded,black,enlarging,one,leaves,several,poisonous
S0349,bell,red,none,distant,white,enlarging,one,paths,solitary,poisonous
S0350,flat,white,almond,distant,black,tapering,one,urban,solitary,edible
S0351,convex,white,almond,close,brown,tapering,none,woods,solitary,poisonous
S0352,bell,brown,foul,close,pink,enlarging,one,woods,several,poisonous
S0353,convex,yellow,anise,close,pink,tapering,one,paths,scattered,edible
S0354,flat,gray,none,close,black,enlarging,one,grasses,several,poisonous
S0355,flat,gray,none,close,brown,enlarging,one,paths,scattered,poisonous
S0356,convex,brown,almond,close,white,enlarging,one,woods,several,poisonous
S0357,convex,gray,fishy,crowded,black,tapering,one,woods,scattered,poisonous
S0358,convex,gray,none,distant,pink,tapering,one,leaves,scattered,poisonous
S0359,convex,gray,fishy,close,pink,tapering,one,grasses,solitary,poisonous
S0360,convex,brown,none,crowded,pink,enlarging,one,grasses,several,poisonous
S0361,flat,white,foul,crowded,pink,tapering,one,paths,several,poisonous
S0362,convex,brown,none,crowded,white,enlarging,one,grasses,solitary,poisonous
S0363,convex,white,anise,close,brown,tapering,one,woods,scattered,edible
S0364,flat,gray,none,close,pink,tapering,two,paths,scattered,edible
S0365,convex,brown,none,distant,pink,enlarging,one,woods,several,poisonous
S0366,flat,brown,none,close,brown,tapering,two,grasses,solitary,poisonous
S0367,flat,gray,fishy,close,white,tapering,one,woods,solitary,poisonous
S0368,flat,gray,anise,close,brown,tapering,none,paths,several,edible
S0369,flat,brown,none,crowded,brown,enlarging,none,leaves,scattered,poisonous
S0370,convex,white,none,close,brown,enlarging,two,grasses,solitary,edible
S0371,knobbed,brown,fishy,crowded,green,enlarging,two,grasses,solitary,poisonous
S0372,convex,yellow,none,crowded,black,tapering,one,leaves,solitary,edible
S0373,convex,yellow,almond,crowded,black,enlarging,one,woods,solitary,edible
S0374,bell,gray,almond,close,brown,tapering,one,woods,solitary,edible
S0375,knobbed,red,fishy,crowded,white,enlarging,one,paths,scattered,poisonous
S0376,convex,gray,none,crowded,pink,tapering,one,woods,solitary,edible
S0377,flat,white,anise,crowded,pink,enlarging,one,paths,several,edible
S0378,bell,white,none,close,green,enlarging,two,paths,several,poisonous
S0379,convex,gray,none,close,green,enlarging,none,paths,solitary,poisonous
S0380,flat,red,none,close,black,enlarging,one,woods,solitary,poisonous
S0381,knobbed,red,none,crowded,white,enlarging,one,grasses,several,edible
S0382,flat,white,pungent,close,black,tapering,one,woods,scattered,poisonous
S0383,flat,brown,none,close,pink,tapering,one,grasses,several,edible
S0384,bell,brown,none,close,brown,enlarging,one,leaves,solitary,edible
S0385,convex,red,foul,distant,brown,enlarging,one,woods,several,poisonous
S0386,convex,brown,none,close,black,tapering,one,woods,solitary,edible
S0387,convex,brown,fishy,distant,pink,enlarging,one,woods,solitary,poisonous
S0388,bell,white,none,close,brown,tapering,one,grasses,solitary,edible
S0389,bell,white,almond,close,brown,tapering,one,grasses,scattered,edible
S0390,convex,yellow,anise,crowded,white,enlarging,one,woods,several,edible
S0391,bell,yellow,anise,close,brown,enlarging,one,woods,several,edible
S0392,flat,white,none,crowded,black,tapering,one,woods,solitary,poisonous
S0393,convex,red,foul,close,pink,enlarging,one,grasses,scattered,poisonous
